Time (s),SP,PV1,PV2
0.01,16.0,12.22,12.29
0.06,16.0,12.71,12.78
0.11,16.0,9.51,9.58
0.16,16.0,10.75,10.76
0.2,16.0,11.9,11.91
0.25,16.0,12.59,12.6
0.3,16.0,13.1,13.17
0.35,16.0,13.49,13.58
0.4,16.0,13.91,13.94
0.45,16.0,14.25,14.35
0.5,16.0,14.49,14.52
0.55,16.0,14.66,14.71
0.6,16.0,14.98,14.89
0.65,16.0,15.02,14.97
0.7,16.0,15.12,15.17
0.75,16.0,15.33,15.35
0.8,16.0,15.18,15.28
0.85,16.0,15.18,15.21
0.9,16.0,15.85,15.92
0.95,16.0,15.58,15.54
1.0,16.0,15.76,15.76
1.05,16.0,16.23,16.17
1.1,16.0,16.1,16.05
1.15,16.0,16.47,16.4
1.2,16.0,16.74,16.79
1.25,16.0,16.66,16.58
1.3,16.0,16.7,16.8
1.35,16.0,16.75,16.79
1.4,16.0,16.74,16.78
1.45,16.0,16.87,16.81
1.5,16.0,16.81,16.88
1.55,16.0,16.9,16.81
1.55,16.0,16.9,16.82
1.55,16.0,16.9,16.89
1.7,16.0,17.03,16.94
1.75,16.0,16.79,16.75
1.8,16.0,16.74,16.68
1.85,16.0,16.73,16.71
1.9,16.0,16.84,16.81
1.95,16.0,16.88,16.94
2.0,16.0,16.91,16.86
2.05,16.0,16.87,16.92
2.1,16.0,16.97,16.97
2.15,16.0,16.95,16.88
2.2,16.0,16.88,16.91
2.25,16.0,16.86,16.85
2.3,16.0,16.69,16.75
2.35,16.0,16.66,16.74
2.4,16.0,16.64,16.63
2.45,16.0,16.71,16.79
2.5,16.0,16.77,16.82
2.55,16.0,16.64,16.57
2.6,16.0,16.7,16.64
2.65,16.0,16.72,16.71
2.7,16.0,16.62,16.56
2.75,16.0,16.66,16.57
2.8,16.0,16.67,16.68
2.85,16.0,16.63,16.6
2.9,16.0,16.73,16.77
2.95,16.0,16.73,16.76
3.0,16.0,16.77,16.7
3.05,16.0,16.78,16.86
3.1,16.0,16.75,16.76
3.15,16.0,16.77,16.86
3.2,16.0,16.77,16.83
3.25,16.0,16.77,16.81
3.3,16.0,16.78,16.82
3.35,16.0,16.79,16.7
3.4,16.0,16.8,16.84
3.45,16.0,16.8,16.71
3.5,16.0,16.86,16.79
3.55,16.0,16.87,16.92
3.6,16.0,16.87,16.94
3.65,16.0,16.87,16.91
3.7,16.0,16.92,16.82
3.75,16.0,16.91,16.82
3.8,16.0,16.93,16.89
3.85,16.0,16.93,16.84
3.9,16.0,16.95,17.01
3.95,16.0,16.96,17.02
4.0,16.0,16.97,16.9
4.05,16.0,16.95,17.01
4.1,16.0,16.99,16.95
4.15,16.0,17.0,17.09
4.2,16.0,17.01,16.91
4.25,16.0,16.99,17.04
4.3,16.0,17.0,17.0
4.35,16.0,17.0,17.07
4.4,16.0,17.01,16.91
4.45,16.0,17.01,16.95
4.5,16.0,17.05,17.03
4.55,16.0,17.05,17.09
4.6,16.0,17.06,17.04
4.65,16.0,17.05,17.08
4.7,16.0,17.09,16.99
4.75,16.0,17.1,17.19
4.8,16.0,17.1,17.15
4.85,16.0,17.02,16.94
4.9,16.0,17.03,16.97
4.95,16.0,16.99,16.94
5.0,16.0,17.0,16.99
5.05,16.0,17.03,17.02
5.09,16.0,17.04,17.05
5.15,16.0,17.01,16.93
5.2,16.0,17.11,17.03
5.25,16.0,17.1,17.06
5.3,16.0,17.06,17.04
5.34,16.0,17.05,16.96
5.4,16.0,17.09,17.15
5.45,16.0,17.09,17.07
5.49,16.0,17.01,17.1
5.54,16.0,16.99,16.95
5.59,16.0,17.05,17.06
5.65,16.0,17.03,17.12
5.69,16.0,16.99,17.06
5.74,16.0,17.02,17.03
5.79,16.0,17.03,17.05
5.84,16.0,16.99,16.89
5.89,16.0,17.0,17.05
5.94,16.0,16.96,16.98
5.99,16.0,16.97,16.98
6.04,16.0,16.97,16.99
6.09,16.0,16.97,16.99
6.14,16.0,17.01,16.97
6.19,16.0,17.01,17.03
6.24,16.0,17.0,16.93
6.28,16.0,17.04,17.04
6.33,16.0,17.05,17.11
6.38,16.0,17.06,17.08
6.43,16.0,17.05,16.98
6.48,16.0,17.07,17.14
6.53,16.0,17.07,17.14
6.58,16.0,17.01,17.03
6.63,16.0,17.02,16.94
6.68,16.0,17.02,16.93
6.73,16.0,16.96,16.92
6.78,16.0,16.94,16.89
6.83,16.0,16.97,16.89
6.83,16.0,16.97,17.02
6.83,16.0,16.97,17.05
6.83,16.0,16.97,17.06
7.03,16.0,16.9,16.96
7.08,16.0,16.9,16.93
7.13,16.0,16.91,16.99
7.18,16.0,16.9,16.82
7.23,16.0,16.91,16.85
7.28,16.0,16.95,16.88
7.32,16.0,16.97,16.91
7.37,16.0,16.94,17.01
7.42,16.0,16.94,16.84
7.47,16.0,16.99,16.95
7.52,16.0,16.99,16.89
7.57,16.0,16.98,17.0
7.62,16.0,16.98,16.95
7.67,16.0,16.98,17.0
7.72,16.0,16.98,16.94
7.77,16.0,16.98,16.92
7.82,16.0,16.97,16.92
7.87,16.0,16.97,17.0
7.92,16.0,16.98,17.04
7.97,16.0,16.98,17.01
8.02,16.0,17.01,17.0
8.07,16.0,16.94,16.99
8.12,16.0,16.94,16.94
8.17,16.0,16.94,16.95
8.22,16.0,16.94,16.85
8.27,16.0,16.95,16.86
8.31,16.0,16.93,16.83
8.37,16.0,16.93,16.87
8.41,16.0,16.9,16.93
8.46,16.0,16.9,16.96
8.51,16.0,16.89,16.9
8.56,16.0,16.89,16.89
8.61,16.0,16.86,16.86
8.66,16.0,16.88,16.93
8.71,16.0,16.88,16.9
8.76,16.0,16.86,16.94
8.81,16.0,16.85,16.79
8.85,16.0,16.86,16.86
8.9,16.0,16.86,16.77
8.95,16.0,16.86,16.76
9.0,16.0,16.88,16.95
9.05,16.0,16.89,16.93
9.1,16.0,16.89,16.92
9.15,16.0,16.85,16.81
9.2,16.0,16.86,16.93
9.25,16.0,16.85,16.77
9.29,16.0,16.85,16.89
9.34,16.0,16.85,16.89
9.39,16.0,16.86,16.83
9.44,16.0,16.85,16.83
9.49,16.0,16.86,16.76
9.54,16.0,16.85,16.78
9.59,16.0,16.85,16.76
9.64,16.0,16.87,16.89
9.69,16.0,16.87,16.96
9.73,16.0,16.87,16.87
9.78,16.0,16.89,16.86
9.83,16.0,16.87,16.89
9.88,16.0,16.87,16.95
9.93,16.0,16.86,16.87
9.98,16.0,16.82,16.86
10.03,16.0,16.82,16.89
10.08,16.0,16.79,16.72
10.13,16.0,16.83,16.84
10.13,16.0,16.83,16.81
10.13,16.0,16.83,16.78
10.28,16.0,16.92,16.96
10.33,16.0,16.92,16.9
10.38,16.0,16.92,16.91
10.43,16.0,16.92,17.02
10.48,16.0,16.92,16.99
10.53,16.0,16.92,16.89
10.59,16.0,16.93,16.93
10.64,16.0,16.93,16.88
10.69,16.0,16.94,16.94
10.74,16.0,16.96,16.94
10.79,16.0,16.93,16.87
10.84,16.0,16.93,16.91
10.89,16.0,16.99,17.09
10.94,16.0,17.09,17.1
10.99,16.0,17.1,17.0
11.04,16.0,17.09,17.08
11.1,16.0,17.08,17.16
11.15,16.0,17.08,17.05
11.2,16.0,17.09,17.08
11.25,16.0,17.1,17.18
11.3,16.0,17.1,17.18
